Av. do Contorno entre Gutierrez e Savassi, Dom f, 15h-16h, 9
Av. do Contorno entre Gutierrez e Savassi, Dom f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 1
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 39
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 105
Av. do Contorno entre Gutierrez e Savassi, 4a f, 18h-19h, 79
Av. do Contorno entre Gutierrez e Savassi, 4a f, 19h-20h, 21
Av. do Contorno entre Gutierrez e Savassi, 4a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Sab f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 15h-16h, 21
Av. do Contorno entre Gutierrez e Savassi, 2a f, 16h-17h, 4
Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 64
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 69
Av. do Contorno entre Gutierrez e Savassi, 2a f, 19h-20h, 23
Av. do Contorno entre Gutierrez e Savassi, 2a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 5a f, 15h-16h, 44
Av. do Contorno entre Gutierrez e Savassi, 5a f, 16h-17h, 28
Av. do Contorno entre Gutierrez e Savassi, 5a f, 17h-18h, 75
Av. do Contorno entre Gutierrez e Savassi, 5a f, 18h-19h, 132
Av. do Contorno entre Gutierrez e Savassi, 5a f, 19h-20h, 59
Av. do Contorno entre Gutierrez e Savassi, 5a f, 20h-21h, 22
Av. do Contorno entre Gutierrez e Savassi, Dom f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 19h-20h, 8
Av. do Contorno entre Gutierrez e Savassi, Dom f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 3a f, 15h-16h, 4
Av. do Contorno entre Gutierrez e Savassi, 3a f, 16h-17h, 11
Av. do Contorno entre Gutierrez e Savassi, 3a f, 17h-18h, 32
Av. do Contorno entre Gutierrez e Savassi, 3a f, 18h-19h, 74
Av. do Contorno entre Gutierrez e Savassi, 3a f, 19h-20h, 10
Av. do Contorno entre Gutierrez e Savassi, 3a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 15h-16h, 55
Av. do Contorno entre Gutierrez e Savassi, 6a f, 16h-17h, 80
Av. do Contorno entre Gutierrez e Savassi, 6a f, 17h-18h, 57
Av. do Contorno entre Gutierrez e Savassi, 6a f, 18h-19h, 34
Av. do Contorno entre Gutierrez e Savassi, 6a f, 19h-20h, 74
Av. do Contorno entre Gutierrez e Savassi, 6a f, 20h-21h, 51
Av. do Contorno entre Gutierrez e Savassi, 2a f, 15h-16h, 18
Av. do Contorno entre Gutierrez e Savassi, 2a f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 54
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 52
Av. do Contorno entre Gutierrez e Savassi, 2a f, 19h-20h, 11
Av. do Contorno entre Gutierrez e Savassi, 2a f, 20h-21h, 8
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 11
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 22
Av. do Contorno entre Gutierrez e Savassi, 4a f, 18h-19h, 58
Av. do Contorno entre Gutierrez e Savassi, 4a f, 19h-20h, 81
Av. do Contorno entre Gutierrez e Savassi, 4a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Sab f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 18h-19h, 28
Av. do Contorno entre Gutierrez e Savassi, Sab f, 19h-20h, 18
Av. do Contorno entre Gutierrez e Savassi, Sab f, 20h-21h, 8
Av. do Contorno entre Gutierrez e Savassi, 3a f, 15h-16h, 7
Av. do Contorno entre Gutierrez e Savassi, 3a f, 16h-17h, 45
Av. do Contorno entre Gutierrez e Savassi, 3a f, 17h-18h, 53
Av. do Contorno entre Gutierrez e Savassi, 3a f, 18h-19h, 43
Av. do Contorno entre Gutierrez e Savassi, 3a f, 19h-20h, 5
Av. do Contorno entre Gutierrez e Savassi, 3a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 5a f, 15h-16h, 8
Av. do Contorno entre Gutierrez e Savassi, 5a f, 16h-17h, 31
Av. do Contorno entre Gutierrez e Savassi, 5a f, 17h-18h, 68
Av. do Contorno entre Gutierrez e Savassi, 5a f, 18h-19h, 65
Av. do Contorno entre Gutierrez e Savassi, 5a f, 19h-20h, 42
Av. do Contorno entre Gutierrez e Savassi, 5a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 18h-19h, 12
Av. do Contorno entre Gutierrez e Savassi, Dom f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 47
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 28
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 58
Av. do Contorno entre Gutierrez e Savassi, 4a f, 18h-19h, 110
Av. do Contorno entre Gutierrez e Savassi, 4a f, 19h-20h, 46
Av. do Contorno entre Gutierrez e Savassi, 4a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 15h-16h, 52
Av. do Contorno entre Gutierrez e Savassi, 6a f, 16h-17h, 11
Av. do Contorno entre Gutierrez e Savassi, 6a f, 17h-18h, 10
Av. do Contorno entre Gutierrez e Savassi, 6a f, 18h-19h, 54
Av. do Contorno entre Gutierrez e Savassi, 6a f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 15h-16h, 26
Av. do Contorno entre Gutierrez e Savassi, 2a f, 16h-17h, 33
Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 49
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 38
Av. do Contorno entre Gutierrez e Savassi, 2a f, 19h-20h, 14
Av. do Contorno entre Gutierrez e Savassi, 2a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 5a f, 15h-16h, 9
Av. do Contorno entre Gutierrez e Savassi, 5a f, 16h-17h, 42
Av. do Contorno entre Gutierrez e Savassi, 5a f, 17h-18h, 47
Av. do Contorno entre Gutierrez e Savassi, 5a f, 18h-19h, 95
Av. do Contorno entre Gutierrez e Savassi, 5a f, 19h-20h, 31
Av. do Contorno entre Gutierrez e Savassi, 5a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 15h-16h, 19
Av. do Contorno entre Gutierrez e Savassi, 6a f, 16h-17h, 11
Av. do Contorno entre Gutierrez e Savassi, 6a f, 17h-18h, 21
Av. do Contorno entre Gutierrez e Savassi, 6a f, 18h-19h, 48
Av. do Contorno entre Gutierrez e Savassi, 6a f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 16h-17h, 0
