Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 15h-16h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 17h-18h, 91
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 18h-19h, 161
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 19h-20h, 101
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 20h-21h, 8
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 15h-16h, 25
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 16h-17h, 18
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 17h-18h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 18h-19h, 17
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 19h-20h, 8
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 20h-21h, 27
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 15h-16h, 10
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 17h-18h, 10
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 18h-19h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 19h-20h, 8
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 20h-21h, 0
