Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 17h-18h, 29
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 18h-19h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 19h-20h, 26
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 20h-21h, 21
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 6
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 6
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 14
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 53
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 20h-21h, 6
